Date,Open,High,Low,Close,Volume
11/08/2021,"108.20","108.20","97.52","102.14","863,733"
11/05/2021,"104.00","111.93","101.16","104.96","792,324"
11/04/2021,"116.10","122.00","107.06","114.83","906,599"
11/03/2021,"100.18","127.61","99.00","122.12","6,919,055"
11/02/2021,"73.13","76.82","72.00","76.80","340,590"
11/01/2021,"70.24","73.88","69.06","73.44","343,633"
10/29/2021,"69.59","71.22","69.17","70.14","163,121"
10/28/2021,"68.96","70.30","68.96","70.01","233,941"
10/27/2021,"71.22","72.49","68.59","68.74","224,583"
10/26/2021,"70.87","71.19","68.86","71.12","299,048"
10/25/2021,"68.56","71.40","68.52","70.50","374,690"
10/22/2021,"70.49","70.49","67.61","68.00","213,519"
10/21/2021,"69.71","70.66","69.21","70.43","111,349"
10/20/2021,"71.23","71.48","69.72","69.91","206,357"
10/19/2021,"70.44","73.41","69.70","70.81","232,461"
10/18/2021,"72.07","72.07","66.85","70.19","228,396"
10/15/2021,"73.36","73.57","71.38","72.29","521,013"
10/14/2021,"72.45","73.04","70.88","72.43","225,052"
10/13/2021,"68.46","72.94","68.39","71.81","456,618"
10/12/2021,"65.34","68.59","65.17","68.46","367,516"
10/11/2021,"62.92","66.10","62.06","65.50","395,753"
10/08/2021,"63.75","64.72","62.54","63.20","328,980"
10/07/2021,"61.52","63.67","61.24","63.39","262,785"
10/06/2021,"58.54","61.92","58.41","61.51","208,436"
10/05/2021,"58.17","59.90","58.05","59.35","227,798"
10/04/2021,"58.49","58.89","56.52","58.34","251,416"
10/01/2021,"59.11","59.11","57.69","58.64","266,591"
09/30/2021,"58.50","59.77","58.45","58.56","265,149"
09/29/2021,"57.29","58.27","56.51","58.13","247,954"
09/28/2021,"58.97","59.38","56.49","56.77","208,505"
09/27/2021,"58.88","59.92","57.74","59.22","235,105"
09/24/2021,"60.90","61.42","57.57","58.41","395,527"
09/23/2021,"62.30","62.93","60.66","61.34","359,302"
09/22/2021,"63.03","63.83","61.73","61.96","249,171"
09/21/2021,"63.04","64.99","62.29","62.83","336,906"
09/20/2021,"63.89","64.40","60.75","62.74","549,238"
09/17/2021,"61.87","65.82","60.50","65.79","1,375,869"
09/16/2021,"62.00","63.95","61.52","61.93","523,313"
09/15/2021,"61.34","64.25","60.40","62.09","616,844"
09/14/2021,"64.00","64.70","60.37","61.32","1,200,291"
09/13/2021,"56.25","67.00","56.25","64.96","4,806,466"
09/10/2021,"48.72","48.72","46.80","48.12","320,253"
